uniprot_id,value
P10275,0.048983862372408885
P35222,0.04181249059840912
P21333,0.03500969535457968
P00533,0.028095567715295585
P01375,0.022653742048280766
P31749,0.022582263712603197
Q03135,0.020696631379523562
P24385,0.020642637612972626
P07900,0.019420653635792443
Q9Y4K3,0.019100459661024853
O60341,0.019069238443333934
Q9UKV8,0.017819715300293602
P42345,0.016807310127791134
P06213,0.016071025504159432
P34015,0.015835779786423768
P06400,0.015750880111965293
O75385,0.015738855008509432
P62993,0.015296860378019292
P49450,0.014788711444186229
Q96EB6,0.014707599573797903
Q13616,0.014595408698379482
P09619,0.014434512857642983
Q9BTM9,0.014416898426855878
Q9GZQ8,0.013892575232541044
P30260,0.01378007335244851
P62158,0.013646552853175349
P09874,0.013615651803124873
Q92793,0.013614401062080981
P36897,0.01358473671927688
P03372,0.013515436681579517
P25963,0.013342200927511845
Q99496,0.013084302791464983
P46937,0.012883780386330918
Q14457,0.01272447670799793
Q00987,0.01258838401023354
Q13625,0.01224013648653735
P05412,0.011778257198607488
P22681,0.011630863524073616
Q13153,0.011602581519710192
P04049,0.011445826832621861
P36405,0.011204651882363957
Q13546,0.011179723622492227
O15164,0.01099920513270341
Q07817,0.010722265566036926
P98170,0.010672530831681671
P63000,0.010231938097539481
P12931,0.010181866999477764
P12004,0.009924843451229412
O75581,0.009486546096639691
P27986,0.009282912431403686
P32121,0.009282521937298513
P08047,0.009107780135828372
Q9Y4E8,0.008697154839956003
Q04206,0.008690375944069
Q12933,0.008554216555422513
Q9Y6K9,0.00854886739525237
Q15653,0.0085266271284569
P01112,0.00849501279844372
P51787,0.00848902706692625
O75460,0.008411179405646207
P63279,0.008006446711253423
Q13547,0.007947100036514169
P63165,0.00791984314678304
Q13127,0.007910701566645468
P62805,0.007823720315381607
P49768,0.007708371566772282
Q8N3Y1,0.007616406278669957
P19438,0.007569297321597861
P36956,0.00751420392381476
P19387,0.007234423179872887
O15379,0.007163928947127793
P23458,0.007113325596990298
Q6P1J9,0.007064717369724276
P46060,0.007041892429755485
Q9HC16,0.0069527139142834754
P61964,0.0068552572731902005
O14980,0.006764578982009152
P46527,0.00675919259830521
Q921C5,0.006734412206124467
Q14203,0.006626838225538192
Q969U6,0.0065782896242084915
P68431,0.006520598478491752
O41931,0.006512975866606424
P25445,0.006458154986286912
Q9Y297,0.006430722652213101
Q30201,0.006424744060381367
P53350,0.006421602292783513
Q8N122,0.006401638983594753
P89884,0.006398251831429899
P19838,0.00638507912566599
Q01094,0.006366320931245784
P27037,0.006365845862852421
O41947,0.0063325603532520015
P05106,0.006280095384208524
P60484,0.006254444465769676
Q16531,0.006220376046624595
Q96SN8,0.0062118802167742335
P28223,0.006179285862139291
O95477,0.006152967228837345
Q8TEW0,0.006110267329120084
Q13501,0.006092064118570788
Q16637,0.005968223155499638
Q99961,0.005918286925196242
Q9HCJ0,0.005892306348285445
O41949,0.005858762495218365
P16104,0.005799546914549989
Q07812,0.005796361559475013
P01137,0.005787635633681092
P13010,0.00577054174722555
P35462,0.005751146845009722
P40763,0.005746579565342415
P25054,0.005712948235390582
P60953,0.0056373037491613525
P21860,0.005612650957630601
Q99558,0.005596610496209361
P20226,0.00558852533235534
O89100,0.005524081159339323
P06493,0.005507947505804049
P45983,0.005473931198305764
P29317,0.0054662957089843854
O60356,0.005460603492225416
Q92993,0.0054576705714462805
P31946,0.005446915274744274
Q9UID3,0.005387937627643749
P88980,0.005338269713056196
P88995,0.005277815995421435
P88996,0.005265110429813325
P45973,0.00525307407821874
Q9UBL3,0.005219695548819002
P67775,0.005213822794797572
O15392,0.005211692956625681
P07737,0.005151224216999602
P19793,0.005126840825228982
Q9Y468,0.005117964984541904
O41957,0.005083371090649831
Q96AP0,0.005079893172769181
P51532,0.005035020589941065
P47992,0.00501390208168082
Q5SQX6,0.005005457899468186
Q9C0C7,0.0049658257380636285
O75530,0.004955204639231541
Q9H4A3,0.004914409660435212
O60885,0.0049126392099998065
Q8WXX7,0.004898510445802262
P10636,0.004884571392653002
Q92900,0.00484763466043974
P40189,0.004825979664385314
Q5ZSD5,0.004806517341559448
Q16665,0.004798402010365721
P21802,0.0046888200535438376
P88993,0.0046767685537799095
P17542,0.004647482536898254
Q96KQ7,0.004608237182739073
P62136,0.004597350130049088
O00429,0.004580723449302697
O14965,0.004578504981687896
P17612,0.004532613615264601
P02340,0.0045159314068250024
O43927,0.004508723540590465
P60842,0.004488502138783564
Q12824,0.004475842652222424
P11388,0.0044576726136942545
P60709,0.0044438478508020945
Q92841,0.004372535373723176
Q9H3P7,0.0043449699172367524
Q9HB90,0.00433801567166977
O95219,0.004336745108331146
P49757,0.004332560962977658
P62491,0.004260103171594907
Q01201,0.00421929138000315
O43439,0.004211869753071267
O14920,0.004186701820576277
Q9NYJ8,0.004158168601573034
Q9P2R3,0.004152372026982629
Q9NWT6,0.004144743036320521
Q05086,0.004117508122398193
O41970,0.00409308891956938
Q15648,0.00405171775516441
Q92769,0.004036762005659806
O41946,0.004020627594114051
P10276,0.004009356106668203
Q8IX03,0.004005065590228743
P50613,0.003952356029415282
P49841,0.0039070123699430715
P15923,0.003899815945763286
P41229,0.0038695873895746315
P40818,0.0038648388159382287
P32302,0.0038571772612223014
Q9H0D6,0.0038430529753865766
P03407,0.003842744988197693
Q06124,0.0038404171192691896
P20339,0.0038359948126962173
Q5FBB7,0.003827044954600523
P30153,0.003820606498292941
Q99801,0.003809348016815523
P35968,0.0037501245822912205
Q76N32,0.0037338739946052367
P61769,0.0037273311639891083
Q03164,0.0037145202691764843
P55036,0.0036449830648667865
P15692,0.0035892717465771926
P62826,0.0035573321523704937
Q9HC29,0.0035425631389538834
Q9GZM8,0.003533470732764371
O41964,0.00349340197518626
P36578,0.0034898959545051067
Q99759,0.003487334235865524
P49368,0.0034864564826965184
P05783,0.0034823806815931176
P08621,0.003476869453563408
P48061,0.00347291758500697
P46108,0.0034680915236705513
Q3U182,0.003465870152012988
P04150,0.0034565291052223042
Q16891,0.00344756880738408
O94817,0.0034211013344536113
P88988,0.0033972798353799124
O95630,0.003374987270108442
Q9H0F6,0.0033728677077129996
Q9C005,0.0033662544726735404
P54764,0.003365890751764123
P46939,0.003347434437858151
P32927,0.003340790082107552
Q9NV70,0.00333920708516107
O14744,0.0033073726144019293
Q9NPI6,0.0033020983349313863
Q8WTS6,0.003288924919407355
Q62356,0.00327838668217602
P05067,0.003269009108428939
P06730,0.00323677735448714
Q96RL1,0.003213379207220616
Q9H3D4,0.0032086818688017837
Q16594,0.0032068650278102096
P19525,0.003176549889637118
P59215,0.003154653456073979
Q96EP0,0.003138853779871156
Q60793,0.0031343869907406474
P51617,0.003104665468383071
Q93009,0.0031043897239716417
O15144,0.003095237729170402
P20700,0.0030932850842276204
